about,authors,dateowned,gender,owner,shelfmark,texts
Maison de la conscience; De la sainte âme,"Jean Saulnier,Anonymous",1484-1522,Female,"Anne of France, duchess of Bourbon",Chantilly MS 154,"La Maison de conscience,De la sainte âme"
Maison de la conscience; De la sainte âme,"Jean Saulnier,Anonymous",14?? - December 1483,Female,"Charlotte of Savoy, queen of France",Chantilly MS 154,"La Maison de conscience,De la sainte âme"
Pellerinaige de vie humaine en prose,Guillaume de Digulleville,? - December 1483,Female,"Charlotte of Savoy, queen of France","Ramsen, Antiquariat Heribert Tenschert (Sotheby's) - Pellerinaige",Pèlerinage de vie humaine en prose
De la Mort du duc de Bourgoigne,,? - December 1483,Female,"Charlotte of Savoy, queen of France",NE 79,Ung livre de la mort du duc de Bourgoigne
Les Fruits de tribulation; Chasteau perilleux; De vieillesse,"Cicero,Pierre de Blois,Robert le Chartreux",1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 1009,"Livre de vieillesse,Sept fruits de tribulations,Chasteau perilleux"
Les Fruits de tribulation; Chasteau perilleux; De vieillesse,"Cicero,Pierre de Blois,Robert le Chartreux",14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 1009,"Livre de vieillesse,Sept fruits de tribulations,Chasteau perilleux"
Miroir historial v. 1,Vincent of Beauvais,1435?-1462?,Male,Bernard VIII d'Armagnac,BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1416-1435?,Female,"Bonne of Berry, Viscountess of Carlat",BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1484-1498?,Male,Charles VIII of France,BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1462?-1476?,Male,Jacques d'Armagnac,BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,14??-1416?,Male,John Duke of Berry,BnF fr. 316,Miroir historial v. 1
Miroir historial v. 1,Vincent of Beauvais,1476?-14??,Male,"Louis de Laval, lord of Châtillon",BnF fr. 316,Miroir historial v. 1
Ung livre...nommé de pluseurs renvoys,,? - December 1483,Female,"Charlotte of Savoy, queen of France",NE 80,Ung livre...nommé de pluseurs renvoys
Passion,Anonymous,1496-1523?,Male,Charles III of Bourbon,Chantilly MS 36,La Passion Isabeau
Passion,Anonymous,1460?-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",Chantilly MS 36,La Passion Isabeau
Passion,Anonymous,1486?-1496,Male,Gilbert de Bourbon-Montpensier,Chantilly MS 36,La Passion Isabeau
Passion,Anonymous,1460?-1486,Male,Louis I de Bourbon-Montpensier,Chantilly MS 36,La Passion Isabeau
Préparation du saint Sacrement de l'autel,Anonymous,1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 1813,Préparation du saint Sacrement de l'autel
Préparation du saint Sacrement de l'autel,Anonymous,14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 1813,Préparation du saint Sacrement de l'autel
Jardin de contemplation,Jean Henry,1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 997,Jardin de Contemplation
Jardin de contemplation,Jean Henry,14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 997,Jardin de Contemplation
Somme le roi,Frère Laurent,1483-1522,Female,"Anne of France, duchess of Bourbon",NE 81,Somme le roi
Somme le roi,Frère Laurent,? - December 1483,Female,"Charlotte of Savoy, queen of France",NE 81,Somme le roi
Religious Compendium,"Bernard of Clairvaux,St. Augustine,Louis IX of France,Bernard of Clairvaux,St. Augustine,St. Augustine,St. Augustine,Anonymous,Anonymous,Anonymous,Pope Innocent III,Pierre de Blois,Anonymous,Louis IX of France,Seneca the Younger,Augustin Bongenou,Anonymous,Anonymous,Anonymous,Anonymous,Augustin Bongenou,Thibaut II de Navarre,Anonymous,Anonymous,Anonymous",14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 916,"Lamentations de saint Bernard,Oroison de St Augustin a Nostre Dame: O trois pareilles et perdurables personnes,Enseignemens Saint Louis à son fils,Méditations de saint Bernard,Contemplations [de saint Augustin]: Pour ce que nous sommes mis au milieu des las,Oroison de saint Augustin à la saint trinité,Méditations: Sire j'ay a dire une secrete parole a toy,Char d'Elie,Sept choses du coeur en qui Dieu habite,Quatre pechés mortels (aka Comment IIII pechiés mortelz sont signifiés par quatre bestes sauvages),Le Livre de la misere de l'homme,Traité des tribulations,Ordonnance comment on se doit confesser,Enseignements de saint Louis à sa fille Isabelle,Proverbes de Seneque,Dits et proverbes des philosophes,Dit des philosophes du grant roi Alexandre quant il fu mort,Miroir du monde: Je vois morir, venes avant,Pater noster en francois,Meditacion de la mort,Prière: Biau sire Dieu, plain de bonté,Lettre sur la mort de saint Louis,Manière d'entendre la messe,Légende du bois de la croix,Règle des fins amants"
Religious Compendium,"Bernard of Clairvaux,St. Augustine,Louis IX of France,Bernard of Clairvaux,St. Augustine,St. Augustine,St. Augustine,Anonymous,Anonymous,Anonymous,Pope Innocent III,Pierre de Blois,Anonymous,Louis IX of France,Seneca the Younger,Augustin Bongenou,Anonymous,Anonymous,Anonymous,Anonymous,Augustin Bongenou,Thibaut II de Navarre,Anonymous,Anonymous,Anonymous",20 April 1474-1476,Male,Jacques d'Armagnac,BnF fr. 916,"Lamentations de saint Bernard,Oroison de St Augustin a Nostre Dame: O trois pareilles et perdurables personnes,Enseignemens Saint Louis à son fils,Méditations de saint Bernard,Contemplations [de saint Augustin]: Pour ce que nous sommes mis au milieu des las,Oroison de saint Augustin à la saint trinité,Méditations: Sire j'ay a dire une secrete parole a toy,Char d'Elie,Sept choses du coeur en qui Dieu habite,Quatre pechés mortels (aka Comment IIII pechiés mortelz sont signifiés par quatre bestes sauvages),Le Livre de la misere de l'homme,Traité des tribulations,Ordonnance comment on se doit confesser,Enseignements de saint Louis à sa fille Isabelle,Proverbes de Seneque,Dits et proverbes des philosophes,Dit des philosophes du grant roi Alexandre quant il fu mort,Miroir du monde: Je vois morir, venes avant,Pater noster en francois,Meditacion de la mort,Prière: Biau sire Dieu, plain de bonté,Lettre sur la mort de saint Louis,Manière d'entendre la messe,Légende du bois de la croix,Règle des fins amants"
Religious Compendium,"Bernard of Clairvaux,St. Augustine,Louis IX of France,Bernard of Clairvaux,St. Augustine,St. Augustine,St. Augustine,Anonymous,Anonymous,Anonymous,Pope Innocent III,Pierre de Blois,Anonymous,Louis IX of France,Seneca the Younger,Augustin Bongenou,Anonymous,Anonymous,Anonymous,Anonymous,Augustin Bongenou,Thibaut II de Navarre,Anonymous,Anonymous,Anonymous",1476?-1502,Male,Peter II of Bourbon,BnF fr. 916,"Lamentations de saint Bernard,Oroison de St Augustin a Nostre Dame: O trois pareilles et perdurables personnes,Enseignemens Saint Louis à son fils,Méditations de saint Bernard,Contemplations [de saint Augustin]: Pour ce que nous sommes mis au milieu des las,Oroison de saint Augustin à la saint trinité,Méditations: Sire j'ay a dire une secrete parole a toy,Char d'Elie,Sept choses du coeur en qui Dieu habite,Quatre pechés mortels (aka Comment IIII pechiés mortelz sont signifiés par quatre bestes sauvages),Le Livre de la misere de l'homme,Traité des tribulations,Ordonnance comment on se doit confesser,Enseignements de saint Louis à sa fille Isabelle,Proverbes de Seneque,Dits et proverbes des philosophes,Dit des philosophes du grant roi Alexandre quant il fu mort,Miroir du monde: Je vois morir, venes avant,Pater noster en francois,Meditacion de la mort,Prière: Biau sire Dieu, plain de bonté,Lettre sur la mort de saint Louis,Manière d'entendre la messe,Légende du bois de la croix,Règle des fins amants"
Les Espitres et Euvengilles,,1483-1522?,Female,"Anne of France, duchess of Bourbon",NE 82,Les Epitres et Euvengilles de tout l'an
Les Espitres et Euvengilles,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 82,Les Epitres et Euvengilles de tout l'an
Vita Jesu Christi (vol. 1),Ludolphe de Saxe,1483-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 407,"Vita Christi (fr., trans. Anon.): Ainsi que dit l'Apostre"
Vita Jesu Christi (vol. 1),Ludolphe de Saxe,1482-December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 407,"Vita Christi (fr., trans. Anon.): Ainsi que dit l'Apostre"
Des biens qui viennent d'orisons,,1483-1522,Female,"Anne of France, duchess of Bourbon",NE 83,Des biens qui viennent d'orisons
Des biens qui viennent d'orisons,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 83,Des biens qui viennent d'orisons
Religious Compendium,",Anonymous,,Anonymous,Anonymous,Anonymous,,Anonymous,Anonymous,Anonymous,Anonymous,Anonymous,Pseudo-Augustine,Anonymous,,Anonymous,,,Anonymous,Anonymous,,Elisabeth of Schönau,Anonymous,Bonaventura,Jacques de Milan,Anonymous,Anonymous",1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 1801,"A homme tiede (aka Quinze joies Nostre-Dame?),Discipline de Sapience,Exercice de la vie contemplative,Lettre sur les tribulations,Oroison a Dieu et Nostre Dame: O tresdoulx dieu et tresdoulx pere, Plain de misericorde comme que je chere en pechie,Oroison à JhesuCrist: Mon trespuissant creatour, Tresdoulx et tres debonnaire redempteur et sauveur,Oratio ad sanctem crucem: Ave crux gloriosissima om[niu]m lignorum preciosissima,Oroison a Nostre Dame pour femme qui travaille d'enfant: Tres precieuse vierge marie royne du ciel et de la terre,Oroison de Dieu et des trois rois: Biau sire dieu doulx Jhesucrist / Pere filz et saint esperit,Oroison de Nostre Dame: Tres certaine esperance, A tous ceulx qui si attendent,Oroison des souffrances Nostre Seigneur: He precieux et misericord pere Jhesucrist je commande hui en cest jour,Oroison pour soy et ses amis: Sire dieu en la presence de ton corps et de ton sang,Parlemens de l'ame a Dieu (aka Soliloques aka Seul parler de St. Augustin),Plainte de la Vierge: Helas qui donra a mon chief,Prière à Jhesucrist: Tresdoulx jhesucrist filz de dieu le pere, Et filz de la vierge marie,Prière à Notre Dame: Glorieuse vierge royne / En qui parla vertu divine,Prière avant la Communion: Tresdebonnaire et tresmisericordiable dieu,Prière: De la lumière de Dieu,Prière: Sire, épargne moi,Prière: Vray Dieu roy tout puissant, tresdebonnaire tresdoulx tresamiable,Tres douce dame des anges,Vie de Saincte Elisabeth de Hongroie (aka Visions d'Elisabeth de Schoenau, trans. Anon),Vie de Sainte Marguerite: D'une vierge lit on,L'Aguillon d'amour divine,Oroison des trois rois: Ha trois roys beneurez / Bien devez estre honnorez,Prière quand la femme est au fort de son travail: Anne la prophete enfanta Samuel le prophete"
Religious Compendium,",Anonymous,,Anonymous,Anonymous,Anonymous,,Anonymous,Anonymous,Anonymous,Anonymous,Anonymous,Pseudo-Augustine,Anonymous,,Anonymous,,,Anonymous,Anonymous,,Elisabeth of Schönau,Anonymous,Bonaventura,Jacques de Milan,Anonymous,Anonymous",14??-December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 1801,"A homme tiede (aka Quinze joies Nostre-Dame?),Discipline de Sapience,Exercice de la vie contemplative,Lettre sur les tribulations,Oroison a Dieu et Nostre Dame: O tresdoulx dieu et tresdoulx pere, Plain de misericorde comme que je chere en pechie,Oroison à JhesuCrist: Mon trespuissant creatour, Tresdoulx et tres debonnaire redempteur et sauveur,Oratio ad sanctem crucem: Ave crux gloriosissima om[niu]m lignorum preciosissima,Oroison a Nostre Dame pour femme qui travaille d'enfant: Tres precieuse vierge marie royne du ciel et de la terre,Oroison de Dieu et des trois rois: Biau sire dieu doulx Jhesucrist / Pere filz et saint esperit,Oroison de Nostre Dame: Tres certaine esperance, A tous ceulx qui si attendent,Oroison des souffrances Nostre Seigneur: He precieux et misericord pere Jhesucrist je commande hui en cest jour,Oroison pour soy et ses amis: Sire dieu en la presence de ton corps et de ton sang,Parlemens de l'ame a Dieu (aka Soliloques aka Seul parler de St. Augustin),Plainte de la Vierge: Helas qui donra a mon chief,Prière à Jhesucrist: Tresdoulx jhesucrist filz de dieu le pere, Et filz de la vierge marie,Prière à Notre Dame: Glorieuse vierge royne / En qui parla vertu divine,Prière avant la Communion: Tresdebonnaire et tresmisericordiable dieu,Prière: De la lumière de Dieu,Prière: Sire, épargne moi,Prière: Vray Dieu roy tout puissant, tresdebonnaire tresdoulx tresamiable,Tres douce dame des anges,Vie de Saincte Elisabeth de Hongroie (aka Visions d'Elisabeth de Schoenau, trans. Anon),Vie de Sainte Marguerite: D'une vierge lit on,L'Aguillon d'amour divine,Oroison des trois rois: Ha trois roys beneurez / Bien devez estre honnorez,Prière quand la femme est au fort de son travail: Anne la prophete enfanta Samuel le prophete"
Les Douze perils d'enfer,Robert Blondel,1484-1498?,Male,Charles VIII of France,BnF fr. 449,Les Douze périls d'enfer
Les Douze perils d'enfer,Robert Blondel,c. 1480 - December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 449,Les Douze périls d'enfer
Ung autre livre...que Monsgr de Maillé luy donna,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 84,Ung autre livre...que Monsgr de Maillé luy donna
Ung petit livre de dames et d'amours,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 85,Ung petit livre de dames et d'amours
Triboulet,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 86,Triboulet
Diete de Salut; Examen de conscience; Science de bien mourir; ABC des simples gens,"Jean Gerson,,Jean Gerson,Jean Gerson",1483-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 1836,"L'ABC des simples gens,La Diete de Salut,Science de bien mourir (aka La Medicine de l'âme),L'Examen de conscience"
Diete de Salut; Examen de conscience; Science de bien mourir; ABC des simples gens,"Jean Gerson,,Jean Gerson,Jean Gerson",14??-December 1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 1836,"L'ABC des simples gens,La Diete de Salut,Science de bien mourir (aka La Medicine de l'âme),L'Examen de conscience"
Grandes Heures du duc de Berry,Anonymous,1484-1498?,Male,Charles VIII of France,BnF lat. 919,Livre d'heures
Grandes Heures du duc de Berry,Anonymous,14?? - December 1483,Female,"Charlotte of Savoy, queen of France",BnF lat. 919,Livre d'heures
Grandes Heures du duc de Berry,Anonymous,1409-June 1416,Male,John Duke of Berry,BnF lat. 919,Livre d'heures
Jardin des nobles,Pierre des Gros,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 87,Jardin des nobles
Les Espitres et Euvengilles,,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 88,Les Epitres et Euvengilles de tout l'an
La Passion Nostre Seigner,Anonymous,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 89,Passion Jhesucrist
Mendicité spirituelle; Le Montagne de contemplation,"Jean Gerson,Jean Gerson",1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 1835,"Traité de mendicité spirituelle (aka Secret parlement de l'omme contemplatif a son ame),Le Montagne de contemplation"
Mendicité spirituelle; Le Montagne de contemplation,"Jean Gerson,Jean Gerson",c. 1480-1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 1835,"Traité de mendicité spirituelle (aka Secret parlement de l'omme contemplatif a son ame),Le Montagne de contemplation"
De sainte Clere,,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 90,De saince Clere
Ung petit livre...commençant Humane beate Marye virginis,,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 91,Ung petit livre ... commencant Humane beate Marye virginis
Ung petit livre...ystorié et commance Tres noble,,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 92,Ung petit livre...ystorié et commance! Tres noble
Ung autre petit livre comançant S'ensuit une petite et briefve contemplacion,,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 93,Ung autre petit livre commencant! S'ensuit une petite et briefve contemplacion
Livre d'heures,Anonymous,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 94,Livre d'heures
Chapelet Notre-Dame,,14??-1483,Female,"Charlotte of Savoy, queen of France",NE 95,Chapelet Notre-Dame
Congratulation et graces de la nativité de Charles aisné filz du roy Loys; Histoire de la fondation de Notre-Dame du Puy; oraison,"Anonymous,Anonymous,Anonymous",1484-1522,Female,"Anne of France, duchess of Bourbon",BnF fr. 2222,"Congratulacion et graces de la nativité de Charles aisné filz du roy Loys unziesme de ce nom,Histoire de la fondation de Nostre Dame du Puy,Oroison: Vierge mere tresglorieuse / Dame du royaulme celestre"
Congratulation et graces de la nativité de Charles aisné filz du roy Loys; Histoire de la fondation de Notre-Dame du Puy; oraison,"Anonymous,Anonymous,Anonymous",1470?-1483,Female,"Charlotte of Savoy, queen of France",BnF fr. 2222,"Congratulacion et graces de la nativité de Charles aisné filz du roy Loys unziesme de ce nom,Histoire de la fondation de Nostre Dame du Puy,Oroison: Vierge mere tresglorieuse / Dame du royaulme celestre"
Heures d'Anne de France,Anonymous,1483?-?,Female,"Anne of France, duchess of Bourbon",PML MS M 677,Livre d'heures
Heures d'Anne de France,Anonymous,1473-1475?,Female,"Charlotte of Savoy, queen of France",PML MS M 677,Livre d'heures
Religious compendium,",,,,,,,,,,,,,,,,,,",1460-1498,Female,Anne Wingfield Harling,BL Harley MS 4012,"A shewing in generall wordis that a sawle corruptithe with synne hit must be waishid and clensid from the filthe of sinne…,Foure thingis be nedefull to evere Cristen man and woman to rule theein be to obtayne the blisse of heuen,Here beginneth a tretes of mekenes,Here foloing be the artikill of the faith,Here is foling a short and a frutefull tretes how that ther was assembelid viii wise men and masters for to declare what meret tribulacion is for manne mekely sufferd,Here is the mirroure of sinnes,Ho sumener saith this praier in the worship of the passion shall haue C. 3ere of pardon,Iehsu the sonne of mare mylde,Mirror of St Edmund, imperfect,Prose Life of St Catherine,Prose Life of St Margaret,The Charter of our Heritage,The pardon of the monastery of Shene whiche is Syon (The Syon Pardon Sermon),Theis be the wordis that our saueoure Iehsu spake to his holy spouse and virgen Sent Moll,Treatise on fowre maner of wasshingis, imperfect,Verse Life of St Anne,Verse Life of St Patrick,Vnkinde man…,Beholde me…"
Epistre Othea,Christine de Pizan,? - 1498,Female,Anne Wingfield Harling,NE 96,Epistre Othea
Epistre Othea,Christine de Pizan,1498-?,Male,"Thomas Howard, Lord Surrey",NE 96,Epistre Othea
Psalter,,? - 1498,Female,Anne Wingfield Harling,NE 97,Psalter
Psalter,,1498 - ?,Female,Elizabeth Scrope,NE 97,Psalter
Book of Hours,,?-1498,Female,Anne Wingfield Harling,NE 98,Book of Hours
Book of Hours,,1498-?,Male,Edmund de la Pole,NE 98,Book of Hours
Book of Hours,,? - c.1474,Male,Edward IV of England,NE 98,Book of Hours
Book of Hours,,1498-?,Female,Anne Fitzwater,NE 99,Book of Hours
Book of Hours,,? - 1498,Female,Anne Wingfield Harling,NE 99,Book of Hours
Book of Prayers,,? - 1498,Female,Anne Wingfield Harling,NE 100,Book of Prayers
Book of Prayers,,1498-?,Female,Jane Blakeney,NE 100,Book of Prayers
A French Book,,? - 1498,Female,Anne Wingfield Harling,NE 101,Unspecified French Text
A French Book,,1498-?,Male,Edward Wingfield,NE 101,Unspecified French Text
Troilus and Criseyde,Geoffrey Chaucer,c.1479 - ?,Female,Anne Wingfield Harling,NE 102,Troilus and Criseyde
Troilus and Criseyde,Geoffrey Chaucer,?-c.1479,Male,John Paston,NE 102,Troilus and Criseyde
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",c. 1482-?,Female,"Cecily of York, viscountess of Welles",BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",13??-1380,Male,Charles V of France,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",1380-1422,Male,Charles VI of France,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",1482-14??,Female,Eleanor Haute,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",c. 1482-?,Female,"Elizabeth of York, queen consort of England",BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",143?-1465,Female,"Elizabeth Woodville, queen consort of England",BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",20 April 1404-1422?,Female,"Isabel of Bavaria, queen of France",BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",c. 1482-1491?,Female,Jane or Joan Grey,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",c. 1422-1435?,Male,John Duke of Bedford,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Estoire des saint Graal; La Queste del saint Graal; La Morte le roi Artu,"Anonymous,,",145?-1482,Male,Sir Richard Roos,BL Royal MS 14 E III,"Estoire del Saint Graal,La Morte le Roi Artu,La Queste del Saint Graal"
Livre des eschecs,,1419?-1424?,Female,"Margaret of Bavaria, duchess of Burgundy",NE 103,Ung livre des eshecs
Livre des eschecs,,?-1419?,Male,Monks at the Chapel of the Duke in Dijon,NE 103,Ung livre des eshecs
Faiz et conquestes d'Alexandre le Grand,Jean Wauquelin,c. 1480-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 707,Faiz et conquestes d'Alexandre le Grand (Wauquelin)
Religious compendium,"Anonymous,Anonymous,Anonymous,Anonymous",1445-1482,Female,"Margaret of Anjou, queen of England",Oxford Jesus College MS 124,"""Hymnus alter sive oratio - """"O magistra et ministra"""""",Oratio ad Virginem: Salve sancta mater Dei,Oratio tercia: Ave amantissima! virgo Maria,Preces ad Virginem: Qui preberet iter lucis celi quasi preco"
Virtues of the Mass; Life of Our Lady,"Geoffrey Chaucer,John Lydgate,Geoffrey Chaucer,John Lydgate",c. 1450-1482,Female,"Margaret of Anjou, queen of England",Bodleian MS Hatton 73,"Lak of Stedfastnesse,Life of Our Lady,Truth (Ballade of Good Counsel),Virtues of the Mass"
Ordinary of Arms,,1450?-1482,Female,"Margaret of Anjou, queen of England",BL Add. MS 40851,Thomas Jenyn’s Ordinary of Arms
Nova Statuta Angliae,,1460-1471,Male,Edward of Lancaster,"Yale Law School, Goldman Library MS G. St. 11.1",Nova Statuta Angliae
Nova Statuta Angliae,,1460-1461,Female,"Margaret of Anjou, queen of England","Yale Law School, Goldman Library MS G. St. 11.1",Nova Statuta Angliae
Livre des anges,Francesc Eiximenis,1466?-1498?,Female,"Joan of Laval, duchess of Anjou",Geneva fr. 5,Livre des anges
Missal,,1476?-1488?,Male,Francis II of Brittany,Garrett MS 40,Missel
Missal,,1476?-1486?,Female,"Margaret of Foix, duchess of Brittany",Garrett MS 40,Missel
Vita Sancti Gilberti Confessoris,Anonymous,c.1450-1482,Female,"Margaret of Anjou, queen of England",Bodleian MS Digby 36,Vita Sancti Gilberti Confessoris
Book of Hours,,1480,Female,"Margaret of Anjou, queen of England",PML MS M 253,Book of Hours
Book of Hours,,1480-1482,Male,No known Owner,PML MS M 253,Book of Hours
Psalter,,1394?-1413,Male,Henry IV of England,Cambridge Fitzwilliam Museum MS 38-1950,Psalter
Psalter,,1413-1422,Male,Henry V of England,Cambridge Fitzwilliam Museum MS 38-1950,Psalter
Psalter,,1422-1445?,Male,Henry VI of England,Cambridge Fitzwilliam Museum MS 38-1950,Psalter
Psalter,,1445-1482,Female,"Margaret of Anjou, queen of England",Cambridge Fitzwilliam Museum MS 38-1950,Psalter
Psalter,,1380-1394,Female,Mary de Bohun,Cambridge Fitzwilliam Museum MS 38-1950,Psalter
Calendar,John Somer,1445?-1482,Female,"Margaret of Anjou, queen of England",BL Harley MS 937,A Perpetual Calendar
Temple de Boccace,George Chastellain,c. 1475-1482,Female,"Margaret of Anjou, queen of England",Vatican Library MS Reginense latino 1520,Le Temple de Boccace
Pèlerinage de vie humaine; Pèlerinage de l'âme by Guillaume de Digulleville,"Guillaume de Digulleville,Guillaume de Digulleville",c.1440-1482,Female,"Margaret of Anjou, queen of England",NE 104,"Pèlerinage de vie humaine, 2nd redaction,Pèlerinage de l'Ame"
Pilgrimage of the Soul,,c. 1430-1471?,Male,Henry VI of England,Hatfield House Marquis of Salisbury Cecil Papers MS 270,Pilgrimage of the Soul
The Letter of Othea (Scrope Trans.),Christine de Pizan,c.1440-?,Female,"Anne Neville (Stafford), duchess of Buckingham",NE 105,The Letter of Othea (Scrope Trans.)
The Letter of Othea (Scrope Trans.),Christine de Pizan,c. 1440-1472,Female,Anne Stafford de Vere,NE 105,The Letter of Othea (Scrope Trans.)
The Letter of Othea (Scrope Trans.),Christine de Pizan,1472-1509,Female,"Margaret Beaufort, countess of Richmond and Derby",NE 105,The Letter of Othea (Scrope Trans.)
Des Cas des nobles hommes et femmes by Boccaccio,Giovanni Boccaccio,1468-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 227,Des cas des nobles hommes et femmes
Hours of Mary Stuart,Anonymous,15??-1587?,Female,"Mary Stuart, queen of Scotland",BnF lat. 1405,Livre d'heures
Hours of Mary Stuart,,15??-1587?,Female,"Mary Stuart, queen of Scotland","Ramsen, Antiquariat Heribert Tenschert - Hours of Mary Stuart",Book of Hours
Heures de Jeanne de France (Joan of Valois),Anonymous,1484-1487,Female,"Catherine of Armagnac, duchess of Bourbon",BnF n.a.l. 3244,Livre d'heures
Heures de Jeanne de France (Joan of Valois),Anonymous,1477?-1482,Female,"Joan of Valois, duchess of Bourbon",BnF n.a.l. 3244,Livre d'heures
Heures de Jeanne de France (Joan of Valois),Anonymous,1482-1484,Male,John II of Bourbon,BnF n.a.l. 3244,Livre d'heures
Heures de Jeanne de France (Joan of Valois),Anonymous,c. 1452-1477?,Female,"Marie of Brittany, abbess of Frontevraud",BnF n.a.l. 3244,Livre d'heures
Livre des trois vertus,Christine de Pizan,post-1450-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 452,Le Livre des trois vertus
Defenseur de l'immaculee conception,Pierre Thomas,14??-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 989,Defenseur de l'immaculee conception de la glorieuse Vierge Marie
Jeu d'echecs moralisés; Mélibée et Prudence; Patience de Griseldis; Disticha Catonis,"Pseudo-Cato,Petrarch,Albert of Brescia,Jacques de Cessoles",1461?-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 1165,"Disticha Catonis (aka Dits de Caton),La Patience de Griseldis (version B),Mélibée et Prudence,Jeu d'echecs moralisés"
La Gesine Nostre Dame,Jean Henry,post-1456-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 1866,La Gesine Nostre Dame
La Bouquechardière,Jean de Courcy,1471-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 329,La Bouquechardière
La Bouquechardière,Jean de Courcy,14??-1471,Male,Louis de Bourbon-Roussillon,BnF fr. 329,La Bouquechardière
Grandes chroniques de France (vol. 1),"Primat,Richard Lescot",post-1458-1482,Female,"Joan of Valois, duchess of Bourbon",BnF fr. 2611,Grandes chroniques de France
